TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
BRWM,BLACKROCK WORLD MINING TRUST PLC,ORD 5P,GB0005774855,SHRS,Shares,Financials,Financial Services ,05/12/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
BGLF,BLACKSTONE LOAN FINANCING LIMITED,ORD NPV (EUR),JE00BNCB5T53,SHRS,Shares,Financials,Financial Services ,23/07/2014,Jersey,EUR,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BGLP,BLACKSTONE LOAN FINANCING LIMITED,ORD NPV (GBP),JE00BNCB5T53,SHRS,Shares,Financials,Financial Services ,29/06/2017,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BLTG,BLANCCO TECHNOLOGY GROUP PLC,ORD 2P,GB00B06GNN57,SHRS,Shares,Technology,Technology,20/06/2006,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BRES,BLENCOWE RESOURCES PLC,ORD 0.5P,GB00BFCMVS34,SHRS,Shares,Basic Materials,Basic Resources,18/04/2019,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BLOE,BLOCK ENERGY PLC,ORD SHS GBP0.0025,GB00BF3TBT48,SHRS,Shares,Energy,Energy,11/06/2018,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BMY,BLOOMSBURY PUBLISHING PLC,ORD 1.25P,GB0033147751,SHRS,Shares,Consumer Discretionary,Media,08/07/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
BMV,BLUEBIRD MERCHANT VENTURES LTD,ORD NPV (DI),VGG118701058,SHRS,Shares,Basic Materials,Basic Resources,13/04/2016,British Virgin Islands,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED,ORD NPV,GG00BB0RDB98,SHRS,Shares,Financials,Financial Services ,12/07/2013,Guernsey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
JAY,BLUEJAY MINING PLC,ORD 0.01P,GB00BFD3VF20,SHRS,Shares,Basic Materials,Basic Resources,02/12/2013,United Kingdom,GBX,AIM,,AMSM,ASM6
BPFU,BLUE PLANET FINANCIALS GROWTH AND INCOME INVESTMENT TRUST PLC,UNITS (COMPR 1 ORD NO.1 - NO.10),GB00B1B9C408,OTHR,Other equity-like financial instruments,Financials,Financial Services ,16/08/2006,United Kingdom,GBX,MAIN MARKET,,SSX3,SQNC
BLP,BLUE PLANET INVESTMENT TRUST PLC,ORD 1P,GB0005327076,SHRS,Shares,Financials,Financial Services ,14/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BRD,BLUEROCK DIAMONDS PLC,ORD 5P,GB00BKKJK954,SHRS,Shares,Basic Materials,Basic Resources,26/07/2019,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BLU,BLUE STAR CAPITAL PLC,ORD 0.1P,GB00B02SSZ25,SHRS,Shares,Financials,Financial Services ,29/10/2004,United Kingdom,GBX,AIM,,ASX1,AIMP
BME,B&M EUROPEAN VALUE RETAIL S.A.,ORD 10P (DI),LU1072616219,SHRS,Shares,Consumer Discretionary,Retail ,12/06/2014,Luxembourg,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BOY,BODYCOTE PLC,ORD 17 3/11P,GB00B3FLWH99,SHRS,Shares,Basic Materials,Basic Resources,09/12/2008,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BOE,BOEING CO.,COM STK USD5 (CDI),US0970231058,SHRS,Shares,Industrials,Industrial Goods and Services,27/09/2004,United States,USD,MAIN MARKET,Standard Shares,SSMU,SMEV
BOKU,"BOKU, INC.",CMN SHS USD0.0001 (DI) REG S CAT 3/144A,USU7744C1063,SHRS,Shares,Industrials,Industrial Goods and Services,20/11/2017,United States,GBX,AIM,,ASX1,AMSR
BONH,BONHILL GROUP PLC,ORD 1P,GB00BFWYSS80,SHRS,Shares,Financials,Financial Services ,17/08/2018,United Kingdom,GBX,AIM,,ASX1,AIMP
BOO,BOOHOO GROUP PLC,ORD 1P,JE00BG6L7297,SHRS,Shares,Consumer Discretionary,Retail ,14/03/2014,Jersey,GBX,AIM,,AMSM,ASM6
BD82,BOOT (HENRY) PLC,CUM PRF(5.25%)#1,GB0001111284,SHRS,Shares,Real Estate,Real Estate ,28/06/2002,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
BOOT,BOOT (HENRY) PLC,ORD 10P,GB0001110096,SHRS,Shares,Real Estate,Real Estate ,13/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
BOR,BORDERS & SOUTHERN PETROLEUM PLC,ORD 1P,GB00B08F4599,SHRS,Shares,Energy,Energy,22/09/2008,United Kingdom,GBX,AIM,,AMSM,ASM7
BIH,BOSTON INTERNATIONAL HOLDINGS PLC,ORD GBP0.001,GB00BD70S874,SHRS,Shares,Financials,Financial Services ,12/10/2016,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX3,SQSL
BOD,BOTSWANA DIAMONDS PLC,ORD 0.25P,GB00B5TFC825,SHRS,Shares,Basic Materials,Basic Resources,02/02/2011,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BGHL,BOUSSARD & GAVAUDAN HOLDING LIMITED,ORD EUR0.0001 (EUR),GG00B1FQG453,SHRS,Shares,Financials,Financial Services ,28/07/2008,Guernsey,EUR,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
BGHS,BOUSSARD & GAVAUDAN HOLDING LIMITED,ORD EUR0.0001 (STG),GG00B39VMM07,SHRS,Shares,Financials,Financial Services ,28/07/2008,Guernsey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BWN,BOWEN FINTECH PLC,ORD 1P,GB00BMYX7295,SHRS,Shares,Financials,Financial Services ,31/10/2022,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BLVN,BOWLEVEN PLC,ORD 10P,GB00B04PYL99,SHRS,Shares,Energy,Energy,18/06/2007,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BPM,B.P. MARSH & PARTNERS PLC,ORD 10P,GB00B0XLRJ79,SHRS,Shares,Financials,Financial Services ,19/09/2006,United Kingdom,GBX,AIM,,ASX1,AIMP
BP.,BP PLC,$0.25,GB0007980591,SHRS,Shares,Energy,Energy,24/11/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BP.A,BP PLC,8% CUM 1ST PRF #1,GB0001385250,SHRS,Shares,Energy,Energy,13/12/2004,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BP.B,BP PLC,9% CUM 2ND PRF #1,GB0001385474,SHRS,Shares,Energy,Energy,13/12/2004,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BHL,BRADDA HEAD LITHIUM LIMITED,ORD NPV (DI),VGG154091083,SHRS,Shares,Basic Materials,Basic Resources,19/07/2021,British Virgin Islands,GBX,AIM,,ASQ1,AMQ1
BMS,BRAEMAR PLC,ORD 10P,GB0000600931,SHRS,Shares,Industrials,Industrial Goods and Services,02/12/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
BMT,BRAIME GROUP PLC,'A'NON.V ORD 25P,GB0001185270,SHRS,Shares,Basic Materials,Basic Resources,05/05/2000,United Kingdom,GBX,AIM,,ASX1,AIMP
BMTO,BRAIME GROUP PLC,ORD 25P,GB0001185056,SHRS,Shares,Basic Materials,Basic Resources,05/05/2000,United Kingdom,GBX,AIM,,ASX1,AIMP
BAR,BRAND ARCHITEKTS GROUP PLC,ORD 5P,GB0008667304,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,09/05/2006,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BRSD,BRANDSHIELD SYSTEMS PLC,ORD 1P,GB00BM97CN29,SHRS,Shares,Technology,Technology,30/11/2020,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BBSN,BRAVE BISON GROUP PLC,ORD 0.1P,GB00BF8HJ774,SHRS,Shares,Technology,Technology,12/11/2013,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BRH,BRAVEHEART INVESTMENT GROUP PLC,ORD 2P,GB00B13XV322,SHRS,Shares,Financials,Financial Services ,30/03/2007,United Kingdom,GBX,AIM,,ASX1,AIMP
BREE,BREEDON GROUP PLC,ORD NPV,JE00B2419D89,SHRS,Shares,Industrials,Construction and Materials,12/06/2008,Jersey,GBX,AIM,,AMSM,ASM6
BRCK,BRICKABILITY GROUP PLC,ORD GBP0.01,GB00BK63S759,SHRS,Shares,Industrials,Construction and Materials,29/08/2019,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BPT,BRIDGEPOINT GROUP PLC,ORD GBP0.00005,GB00BND88V85,SHRS,Shares,Financials,Financial Services ,24/07/2021,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
PIER,BRIGHTON PIER GROUP PLC (THE),ORD 25P,GB00BG49KW66,SHRS,Shares,Consumer Discretionary,Travel and Leisure,28/11/2013,United Kingdom,GBX,AIM,,ASQ1,AMQ1
BWRA,BRISTOL WATER PLC,8 3/4% CUM IRRD PRF #1,GB0001257988,SHRS,Shares,Utilities,Utilities,13/12/2004,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BWSA,BRISTOL & WEST PLC,PRF #1,GB0000510205,SHRS,Shares,Financials,Financial Services ,13/12/2004,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BAF,BRITISH & AMERICAN INVESTMENT TRUST PLC,ORD SHS #1,GB0000653112,SHRS,Shares,Financials,Financial Services ,13/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BATS,BRITISH AMERICAN TOBACCO PLC,ORD 25P,GB0002875804,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",24/11/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BLND,BRITISH LAND COMPANY PLC,ORD 25P,GB0001367019,SHRS,Shares,Real Estate,Real Estate ,23/09/1997,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BSC,BRITISH SMALLER COMPANIES VCT2 PLC,ORD 10P,GB0005001796,SHRS,Shares,Financials,Financial Services ,22/09/2004,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BSV,BRITISH SMALLER COMPANIES VCT PLC,ORD 10P,GB0001403152,SHRS,Shares,Financials,Financial Services ,13/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BVIC,BRITVIC PLC,ORD 20P,GB00B0N8QD54,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",19/06/2006,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BRK,BROOKS MACDONALD GROUP PLC,ORD 1P,GB00B067N833,SHRS,Shares,Financials,Financial Services ,21/03/2006,United Kingdom,GBX,AIM,,AMSM,AF50
BASC,BROWN ADVISORY US SMALLER COMPANIES PLC,ORD 25P,GB0003463402,SHRS,Shares,Financials,Financial Services ,02/12/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BWNG,BROWN (N) GROUP PLC,ORD 11 1/19P,GB00B1P6ZR11,SHRS,Shares,Consumer Discretionary,Retail ,22/02/2007,United Kingdom,GBX,AIM,,AMSM,ASM7
44GL,BRUNNER INVESTMENT TRUST PLC,5% CUM PRF STK,GB0001490449,SHRS,Shares,Financials,Financial Services ,28/06/2002,United Kingdom,GBP,MAIN MARKET,Standard Shares,SSX4,SXSN
BUT,BRUNNER INVESTMENT TRUST PLC,ORD 25P,GB0001490001,SHRS,Shares,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
BSFA,BSF ENTERPRISE PLC,ORD 1P,GB00BHNBDQ51,SHRS,Shares,Health Care ,Health Care  ,26/07/2019,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
BT.A,BT GROUP PLC,ORD 5P,GB0030913577,SHRS,Shares,Telecommunications,Telecommunications,13/01/2006,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BNZL,BUNZL PLC,ORD 32 1/7P,GB00B0744B38,SHRS,Shares,Industrials,Industrial Goods and Services,20/06/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BRBY,BURBERRY GROUP PLC,ORD 0.05P,GB0031743007,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,20/09/2002,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BUR,BURFORD CAPITAL LIMITED,ORD NPV (DI),GG00BMGYLN96,SHRS,Shares,Financials,Financial Services ,19/10/2020,Guernsey,GBX,AIM,,AMSM,ASM6
BNR,BURNING ROCK BIOTECH LIMITED,ADS (EACH REPR 1 CLASS A ORD USD0.0002),US12233L1070,DPRS,Depositary receipts,Health Care ,Health Care  ,01/11/2022,Cayman Islands,USD,MAIN MARKET,Standard GDRs,IOBE,LLHE
BMN,BUSHVELD MINERALS LIMITED,ORD 1P,GG00B4TM3943,SHRS,Shares,Basic Materials,Basic Resources,26/03/2012,Guernsey,GBX,AIM,,ASQ1,AMQ1
BYOT,BYOTROL PLC,ORDS 0.25P,GB00B0999995,SHRS,Shares,Basic Materials,Chemicals,20/06/2006,United Kingdom,GBX,AIM,,ASX1,AIMP
BYIT,BYTES TECHNOLOGY GROUP PLC,ORD GBP0.01,GB00BMH18Q19,SHRS,Shares,Technology,Technology,17/12/2020,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
C4XD,C4X DISCOVERY HOLDINGS PLC,ORD 1P,GB00BQQ2RV18,SHRS,Shares,Health Care ,Health Care  ,23/10/2014,United Kingdom,GBX,AIM,,AMSM,ASM7
CVH,CABLEVISION HOLDING S.A.,GDS (EACH REPR 1 CLS B SHR),US12687E1047,DPRS,Depositary receipts,Telecommunications,Telecommunications,21/02/2018,Argentina,USD,MAIN MARKET,Standard GDRs,IOBE,LLHE
KDNC,CADENCE MINERALS PLC,ORD 1P,GB00BJP0B151,SHRS,Shares,Basic Materials,Basic Resources,23/09/2019,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CAD,CADOGAN PETROLEUM PLC,ORD 3P,GB00B12WC938,SHRS,Shares,Energy,Energy,22/09/2008,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX3,SQSL
CMRS,CAERUS MINERAL RESOURCES PLC,ORD GBP0.01,GB00BMDQ4L78,SHRS,Shares,Basic Materials,Basic Resources,19/03/2021,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
78GL,CAFFYNS PLC,7% CUM 1ST PRF #1,GB0001615433,SHRS,Shares,Consumer Discretionary,Retail ,28/06/2002,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
79GL,CAFFYNS PLC,11% CUM PRF #1,GB0001615540,SHRS,Shares,Consumer Discretionary,Retail ,28/06/2002,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
CFYN,CAFFYNS PLC,ORD 50P,GB0001615219,SHRS,Shares,Consumer Discretionary,Retail ,14/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CRN,CAIRN HOMES PLC,ORD EUR0.001 (CDI),IE00BWY4ZF18,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,10/06/2015,Ireland,GBX,MAIN MARKET,Standard Shares,SSMU,SMEU
CBOX,CAKE BOX HOLDINGS PLC,ORD GBP0.01,GB00BDZWB751,SHRS,Shares,Consumer Discretionary,Travel and Leisure,27/06/2018,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CLC,CALCULUS VCT PLC,ORD 1P,GB00BYQPF348,SHRS,Shares,Financials,Financial Services ,10/03/2016,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX3,SQNC
CLDN,CALEDONIA INVESTMENTS PLC,ORD 5P,GB0001639920,SHRS,Shares,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CMCL,CALEDONIA MINING CORPORATION PLC,COM SHS NPV (DI),JE00BF0XVB15,SHRS,Shares,Basic Materials,Basic Resources,27/06/2017,Jersey,GBX,AIM,,ASQ1,AMQ1
CNN,CALEDONIAN TRUST PLC,ORD 20P,GB0001628584,SHRS,Shares,Real Estate,Real Estate ,02/06/2000,United Kingdom,GBX,AIM,,ASX1,AIMP
CLX,CALNEX SOLUTIONS PLC,ORD GBP0.00125,GB00BMBK7016,SHRS,Shares,Telecommunications,Telecommunications,05/10/2020,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CMB,CAMBRIA AFRICA PLC,ORD 0.01P,IM00B28CVH58,SHRS,Shares,Financials,Financial Services ,11/12/2007,Isle of Man,GBX,AIM,,ASX1,AIMP
COG,CAMBRIDGE COGNITION HOLDINGS PLC,ORD 1P,GB00B8DV9647,SHRS,Shares,Health Care ,Health Care  ,18/04/2013,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CAM,CAMELLIA PLC,ORD 10P,GB0001667087,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",08/07/2005,United Kingdom,GBX,AIM,,AMSM,ASM7
CGI,"CANADIAN GENERAL INVESTMENTS, LD",COM NPV,CA1358251074,SHRS,Shares,Financials,Financial Services ,23/12/2003,Canada,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
COPL,CANADIAN OVERSEAS PETROLEUM LIMITED,COM SHS NPV (DI),CA13643D8008,SHRS,Shares,Energy,Energy,01/10/2021,Canada,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
CAPC,CAPITAL & COUNTIES PROPERTIES PLC,ORD 25P,GB00B62G9D36,SHRS,Shares,Real Estate,Real Estate ,10/05/2010,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CGT,CAPITAL GEARING TRUST PLC,ORD 25P,GB0001738615,SHRS,Shares,Financials,Financial Services ,14/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
CAPD,CAPITAL LIMITED,COMM SHS USD0.0001 (DI),BMG022411000,SHRS,Shares,Basic Materials,Basic Resources,07/06/2010,Bermuda,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CMET,CAPITAL METALS PLC,ORD 0.2P,GB00BMF75608,SHRS,Shares,Basic Materials,Basic Resources,12/01/2021,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CAL,CAPITAL & REGIONAL PLC,ORD 10P,GB00BL6XZ716,SHRS,Shares,Real Estate,Real Estate ,15/01/2020,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CPI,CAPITA PLC,ORD 2 1/15P,GB00B23K0M20,SHRS,Shares,Industrials,Industrial Goods and Services,17/09/2007,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
CNE,CAPRICORN ENERGY PLC,ORD 21/13P,GB00BN0SMB92,SHRS,Shares,Energy,Energy,11/01/2021,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CPX,CAP-XX LIMITED,ORD NPV,AU0000XINAS1,SHRS,Shares,Industrials,Industrial Goods and Services,20/03/2007,Australia,GBX,AIM,,ASQ1,AMQ1
GCAT,CARACAL GOLD PLC,ORD GBP0.001,GB00BYZC5R04,SHRS,Shares,Basic Materials,Basic Resources,24/06/2016,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
CAR,CARCLO PLC,ORD 5P,GB0001751915,SHRS,Shares,Industrials,Industrial Goods and Services,13/11/2000,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
CARD,CARD FACTORY PLC,ORD 1P,GB00BLY2F708,SHRS,Shares,Consumer Discretionary,Retail ,15/05/2014,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CDFF,CARDIFF PROPERTY PLC,ORD 20P,GB0001754257,SHRS,Shares,Real Estate,Real Estate ,14/09/1999,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CLLN,CARILLION PLC,ORD 50P,GB0007365546,SHRS,Shares,Industrials,Industrial Goods and Services,31/10/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
CCL,CARNIVAL PLC,ORD USD 1.66,GB0031215220,SHRS,Shares,Consumer Discretionary,Travel and Leisure,22/04/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CARR,CARR'S GROUP PLC,ORD 2.5P,GB00BRK01058,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",14/01/2015,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
CASP,CASPIAN SUNRISE PLC,ORD 1P,GB00B1W0VW36,SHRS,Shares,Energy,Energy,22/05/2007,United Kingdom,GBX,AIM,,ASX1,AIMP
CGL,CASTELNAU GROUP LIMITED,ORD NPV,GG00BMWWJM28,SHRS,Shares,Financials,Financial Services ,18/10/2021,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
CCZ,CASTILLO COPPER LIMITED,ORD NPV (DI),AU000000CCZ2,SHRS,Shares,Basic Materials,Basic Resources,04/08/2020,Australia,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
CGS,CASTINGS PLC,ORD 10P,GB0001795680,SHRS,Shares,Industrials,Industrial Goods and Services,02/12/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
CMX,CATALYST MEDIA GROUP PLC,ORD 10P,GB00B282R334,SHRS,Shares,Telecommunications,Telecommunications,26/10/2007,United Kingdom,GBX,AIM,,ASX1,AIMP
CAT,CATCO REINSURANCE OPPORTUNITIES FUND LIMITED,ORD USD0.00013716 (DI),BMG1961Q3242,SHRS,Shares,,,30/11/2022,Bermuda,USD,MAIN MARKET - SFS,,SFM2,SFQQ
CATC,CATCO REINSURANCE OPPORTUNITIES FUND LIMITED,C SHS USD0.0001 (DI),BMG1961Q3168,SHRS,Shares,,,30/11/2022,Bermuda,USD,MAIN MARKET - SFS,,SFM2,SFQQ
CTEA,CATENAE INNOVATION PLC,ORD 0.2P,GB00BKM6CG53,SHRS,Shares,Consumer Discretionary,Media,27/12/2019,United Kingdom,GBX,AIM,,ASX1,AIMP
CFHS,CATHAY FINANCIAL HOLDING CO LTD,GDR (EACH REPR 10 TWD10)(REG S),US14915V2051,DPRS,Depositary receipts,Financials,Insurance,27/09/2004,Taiwan,USD,ADMISSION TO TRADING ONLY,,IOBU,INLN
CCR,C&C GROUP PLC,ORD EUR0.01 (CDI),IE00B010DT83,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",08/07/2005,Ireland,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CCJI,CC JAPAN INCOME & GROWTH TRUST PLC,ORD GBP0.01,GB00BYSRMH16,SHRS,Shares,Financials,Financial Services ,15/12/2015,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
CCJS,CC JAPAN INCOME & GROWTH TRUST PLC,SUB 0.1P,GB00BM90B010,SHRS,Shares,Financials,Financial Services ,18/02/2021,United Kingdom,GBX,MAIN MARKET,Standard MISC Securities,SSQ3,SQS3
CBA,CEIBA INVESTMENTS LIMITED,ORD NPV,GG00BFMDJH11,SHRS,Shares,Financials,Financial Services ,22/10/2018,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
CEL,CELADON PHARMACEUTICALS PLC,ORD 1P,GB00BDQYGP38,SHRS,Shares,Health Care ,Health Care  ,19/10/2018,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CBX,CELLULAR GOODS PLC,ORD GBP0.001,GB00BK964W87,SHRS,Shares,Health Care ,Health Care  ,26/02/2021,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
CCP,CELTIC PLC,ORD 1P,GB0004339189,SHRS,Shares,Consumer Discretionary,Travel and Leisure,22/12/2005,United Kingdom,GBX,AIM,,ASX1,AIMP
CCPA,CELTIC PLC,6% CNV CUM PRF 60P,GB0004339296,SHRS,Shares,Consumer Discretionary,Travel and Leisure,22/12/2005,United Kingdom,GBX,AIM,,ASX1,AIMP
CCPC,CELTIC PLC,CNV PFD ORD 100P,GB0030639925,SHRS,Shares,Consumer Discretionary,Travel and Leisure,21/09/2006,United Kingdom,GBX,AIM,,ASX1,AIMP
CNKS,CENKOS SECURITIES PLC,ORD 1P,GB00B1FLHR07,SHRS,Shares,Financials,Financial Services ,16/12/2008,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CEY,CENTAMIN PLC,ORD NPV (DI),JE00B5TT1872,SHRS,Shares,Basic Materials,Basic Resources,30/12/2011,Jersey,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
CAU,CENTAUR MEDIA PLC,ORD 10P,GB0034291418,SHRS,Shares,Consumer Discretionary,Media,08/07/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
CAML,CENTRAL ASIA METALS PLC,ORD USD0.01,GB00B67KBV28,SHRS,Shares,Basic Materials,Basic Resources,30/09/2010,United Kingdom,GBX,AIM,,AMSM,AS50
CNIC,CENTRALNIC GROUP PLC,ORD 0.1P,GB00BCCW4X83,SHRS,Shares,Technology,Technology,02/09/2013,United Kingdom,GBX,AIM,,AMSM,AS50
CNA,CENTRICA PLC,ORD 6 14/81P,GB00B033F229,SHRS,Shares,Utilities,Utilities,25/10/2004,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
CEPS,CEPS PLC,ORD 10P,GB00B86TNX04,SHRS,Shares,Financials,Financial Services ,11/06/2013,United Kingdom,GBX,AIM,,ASX1,AIMP
CWR,CERES POWER HOLDINGS PLC,ORD 10P,GB00BG5KQW09,SHRS,Shares,Energy,Energy,07/08/2018,United Kingdom,GBX,AIM,,AMSM,AS50
CER,CERILLION PLC,ORD 0.5P,GB00BYYX6C66,SHRS,Shares,Technology,Technology,18/03/2016,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CGH,CHAARAT GOLD HOLDINGS LTD,ORD USD0.01 (DI),VGG203461055,SHRS,Shares,Basic Materials,Basic Resources,08/11/2007,British Virgin Islands,GBX,AIM,,AMSM,ASM6
CEG,CHALLENGER ENERGY GROUP PLC,ORD 0.02P,IM00BN2RD444,SHRS,Shares,Energy,Energy,28/05/2021,Isle of Man,GBX,AIM,,ASQ1,AMQ1
CMH,CHAMBERLIN PLC,ORD 0.1P,GB0001870228,SHRS,Shares,Basic Materials,Basic Resources,20/03/2007,United Kingdom,GBX,AIM,,ASQ1,AMQ1
CCT,CHARACTER GROUP PLC,ORD 5P,GB0008976119,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,30/12/2005,United Kingdom,GBX,AIM,,ASQ1,AMQ1
