TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
CW8G,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD,LU1681043672,ETFS,ETFs,,,18/04/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
CW8U,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD,LU1681043672,ETFS,ETFs,,,18/04/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
CWEG,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD ENERGY,LU1681046188,ETFS,ETFs,,,31/01/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
CWEU,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD ENERGY,LU1681046188,ETFS,ETFs,,,31/01/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
CWFG,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD FINANCIALS,LU1681045966,ETFS,ETFs,,,31/01/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
CWFU,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD FINANCIALS,LU1681045966,ETFS,ETFs,,,31/01/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
EAHG,AMUNDI INDEX SOLUTIONS,AM INDEX EURO AGG SRI UCITS ETF DR HGBP,LU2368674045,ETFS,ETFs,,,19/10/2021,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
ECRP,AMUNDI INDEX SOLUTIONS,AMUNDI EURO AGG CORP SRI UCITS ETF DR C,LU1437018168,ETFS,ETFs,,,04/02/2020,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
EMXG,AMUNDI INDEX SOLUTIONS,AM MSCI EM EX C ESG L S UCITS ETF DR,LU2345046655,ETFS,ETFs,,,09/11/2021,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
EMXU,AMUNDI INDEX SOLUTIONS,AM MSCI EM EX C ESG L S UCITS ETF DR,LU2345046655,ETFS,ETFs,,,09/11/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
EPRA,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR,LU1437018838,ETFS,ETFs,,,29/06/2017,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
EPRE,AMUNDI INDEX SOLUTIONS,AMUNDI FTSE EPRA EUROPE REAL ESTATE,LU1681039480,ETFS,ETFs,,,31/01/2018,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
